SUCCESS,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT,BRANCH,PROJECT_SIZE,SRC_SIZE,CALLER_SIZE,NUM_INPUTS,FEATURES,NOTES
true,125,120,1581,0,1827,1.827,"11746bc1b90d170a67b944eec77a15243292efe0
","https://github.com/sewenthy/sniffnet/commit/11746bc1b90d170a67b944eec77a15243292efe0
",,sniffnet,inline-ext1-expr-active,7283,352,72,3,"[""borrow""]",all elidible lifetimes
false,134,136,1227,1,1499,1.499,"8d017e47ce6514a188f2d0028d7f3b856fb65e65
","https://github.com/sewenthy/sniffnet/commit/8d017e47ce6514a188f2d0028d7f3b856fb65e65
",cargo,sniffnet,inline-ext2-expr-active,7304,179,182,6,"[""borrow"",""non_elidible_lifetimes""]",technial; need to introduce A{x=*x} if taken x as reference and init struct
true,154,125,2176,0,2456,2.456,"20d9299fb952f8b66df6622944b423f3713813df
","https://github.com/sewenthy/sniffnet/commit/20d9299fb952f8b66df6622944b423f3713813df
",,sniffnet,ext1-expr-active,7269,67,53,3,"[""borrow"",""mutable_borrow""]",
true,155,133,2303,0,2592,2.592,"bfad0b80130ce6ed07d3979cba160ca9ed69274c
","https://github.com/sewenthy/sniffnet/commit/bfad0b80130ce6ed07d3979cba160ca9ed69274c
",,sniffnet,ext2-expr-active,7269,98,98,4,"[""mutable_borrow""]",path-ed receiver
true,117,82,1562,0,1762,1.762,"ea05052068f8482bec10744fd258c91399b05e06
","https://github.com/sewenthy/sniffnet/commit/ea05052068f8482bec10744fd258c91399b05e06
",,sniffnet,ext3-expr-active,7269,189,28,2,[],
true,96,115,1331,0,1543,1.543,"0b0e87157c22bb4982794f221fd7106d4657f8c3
","https://github.com/sewenthy/sniffnet/commit/0b0e87157c22bb4982794f221fd7106d4657f8c3
",,sniffnet,ext4-expr-active,7270,190,66,2,"[""borrow""]",
true,109,113,1615,0,1838,1.838,"ac2a9dc99aa267ce2d1b6080d6126a5af9e7278d
","https://github.com/sewenthy/sniffnet/commit/ac2a9dc99aa267ce2d1b6080d6126a5af9e7278d
",,sniffnet,ext5-expr-active,7269,339,47,5,[],lots of references but all elidible
true,101,119,1539,0,1760,1.76,"93abb07db9247521112eccbd7d8de6b4f23c78ee
","https://github.com/sewenthy/sniffnet/commit/93abb07db9247521112eccbd7d8de6b4f23c78ee
",,sniffnet,ext6-expr-active,7269,339,25,2,"[""mutable_borrow""]",
true,129,119,1738,0,1987,1.987,"8834e98c3301eb160a60e35b28462160b9258ae3
","https://github.com/sewenthy/sniffnet/commit/8834e98c3301eb160a60e35b28462160b9258ae3
",,sniffnet,ext7-expr-active,7270,340,84,1,[],
true,107,94,2160,0,2363,2.363,"f521102e0b327e84c9588a0e4efa20a1531077fd
","https://github.com/sewenthy/beerus/commit/f521102e0b327e84c9588a0e4efa20a1531077fd
",,beerus,ext-com1-expr-active,302,63,27,0,[],small use of async
