SUCCESS,PROJECT,BRANCH,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT_SIZE,SRC_SIZE,CALLER_SIZE,NUM_INPUTS,FEATURES,INTELLIJ_RUST_OLD,RUST_ANALYZER,NOTES
true,sniffnet,inline-ext1-expr-active,52,87,904,0,1044,1.044,"510107c19fd0aab20ba639cecce98f07218018bc
","https://github.com/sewenthy/sniffnet/commit/510107c19fd0aab20ba639cecce98f07218018bc
",,7283,352,72,3,"[""immutable_borrow""]",success,success,all elidible lifetimes
false,sniffnet,inline-ext2-expr-active,47,79,630,1,757,0.757,"206cd709013f13299a03bee3e3168039d0b40ba1
","https://github.com/sewenthy/sniffnet/commit/206cd709013f13299a03bee3e3168039d0b40ba1
",cargo,7304,179,182,6,"[""immutable_borrow"",""non_elidible_lifetimes""]",failure,success,"technial; need to introduce A{x=*x} if taken x as reference and init struct, IJ failed borrowing, RA figured out Copy"
true,sniffnet,ext1-expr-active,60,77,875,0,1013,1.0130000000000001,"f4c476727cbc464c4e41b26ffe677619e99b6819
","https://github.com/sewenthy/sniffnet/commit/f4c476727cbc464c4e41b26ffe677619e99b6819
",,7269,67,53,3,"[""immutable_borrow"",""mutable_borrow"",""struct_has_lifetime_slot""]",success,success,
true,sniffnet,ext2-expr-active,67,77,837,0,983,0.983,"86ba1d3b6e45cad7e62d1899b5076291723b1682
","https://github.com/sewenthy/sniffnet/commit/86ba1d3b6e45cad7e62d1899b5076291723b1682
",,7269,98,98,4,"[""mutable_borrow"",""struct_has_lifetime_slot""]",failure,success,path-ed receiver
true,sniffnet,ext3-expr-active,79,70,912,0,1062,1.062,"ab536608b131d4eade27bb41b7c87cdbb178d2e2
","https://github.com/sewenthy/sniffnet/commit/ab536608b131d4eade27bb41b7c87cdbb178d2e2
",,7269,189,28,2,[],success,success,
true,sniffnet,ext4-expr-active,47,78,876,0,1002,1.002,"9dd1c5b6eaa45e3f6b2106e6945965bb6cf96c30
","https://github.com/sewenthy/sniffnet/commit/9dd1c5b6eaa45e3f6b2106e6945965bb6cf96c30
",,7270,190,66,2,"[""immutable_borrow""]",success,success,
true,sniffnet,ext5-expr-active,80,56,921,0,1059,1.059,"471a815ca5158cfa38e38998d2c37501bf26ba75
","https://github.com/sewenthy/sniffnet/commit/471a815ca5158cfa38e38998d2c37501bf26ba75
",,7269,339,47,5,[],success,success,lots of references but all elidible
true,sniffnet,ext6-expr-active,80,83,914,0,1078,1.078,"d460d5d2afe6301dcf2011f920d168b2fd725ec7
","https://github.com/sewenthy/sniffnet/commit/d460d5d2afe6301dcf2011f920d168b2fd725ec7
",,7269,339,25,2,"[""mutable_borrow""]",failure,success,IJ failed no de-ref
true,sniffnet,ext7-expr-active,80,57,926,0,1064,1.064,"8c58efa31614efe4be1d7b9e92e074e5fd718a98
","https://github.com/sewenthy/sniffnet/commit/8c58efa31614efe4be1d7b9e92e074e5fd718a98
",,7270,340,84,1,[],success,success,
true,beerus,ext-com1-expr-active,70,77,925,0,1073,1.073,"bf7b84a16b2d7dec32dc0172b141687399605ae1
","https://github.com/sewenthy/beerus/commit/bf7b84a16b2d7dec32dc0172b141687399605ae1
",,302,63,27,0,[],success,refused_to_extract,small use of async
