SUCCESS,Project,Type,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT_SIZE,SRC_SIZE,CALLER_SIZE,NUM_INPUTS,FEATURES,IJ,RA,NOTES,CALLEE_SIZE,FEATURES_JSON,Non elidible lifetimes,Immutable borrow,Struct has lifetime slot,Mutable borrow,Non local return,Non local loop
\cmark,gitoxide,$\leftrightarrows$,58,62,602,0,722,0.722,"6064ec9e2684b4d9275a6c63334cc956b283dade
","https://github.com/sewenthy/gitoxide/commit/6064ec9e2684b4d9275a6c63334cc956b283dade
",,1304,416,65,2,"[""immutable_borrow"",""struct_has_lifetime_slot""]",\xmark,\xmark,,17,"['immutable_borrow', 'struct_has_lifetime_slot']",,\cmark,\cmark,,,
\cmark,kickoff,$\leftrightarrows$,78,56,900,0,1035,1.035,"8609b89407a5143d0e9e28e36d889e56276819a8
","https://github.com/sewenthy/kickoff/commit/8609b89407a5143d0e9e28e36d889e56276819a8
",,1502,322,56,2,"[""immutable_borrow"",""mutable_borrow"",""struct_has_lifetime_slot""]",\cmark,\cmark,all elidible lifetimes,16,"['immutable_borrow', 'mutable_borrow', 'struct_has_lifetime_slot']",,\cmark,\cmark,\cmark,,
\cmark,kickoff,$\circlearrowleft$,47,77,884,0,1009,1.009,"bc04ef5ff9d3f3ff2d0df9b952022fa3a3906f13
","https://github.com/sewenthy/kickoff/commit/bc04ef5ff9d3f3ff2d0df9b952022fa3a3906f13
",,1486,125,53,3,"[""non_local_loop""]",\xmark,\cmark,IJ did not do nclf + no deref,7,['non_local_loop'],,,,,,\cmark
\cmark,kickoff,$\circlearrowleft$,45,75,793,0,914,0.914,"081b25a84bc3637dd0097a9e3486c0a6583f3214
","https://github.com/sewenthy/kickoff/commit/081b25a84bc3637dd0097a9e3486c0a6583f3214
",,1487,92,51,2,[],\cmark,\cmark,,17,[],,,,,,
\cmark,kickoff,$\circlearrowleft$,46,81,852,0,980,0.98,"9819f9549839a4187a6ab41101af887b4415916b
","https://github.com/sewenthy/kickoff/commit/9819f9549839a4187a6ab41101af887b4415916b
",,1487,124,34,2,[],\cmark,\cmark,,7,[],,,,,,
\cmark,kickoff,$\circlearrowleft$,45,78,667,0,791,0.791,"39ac0c7fd43b8259e2e623ecaf1768ec1cbe5422
","https://github.com/sewenthy/kickoff/commit/39ac0c7fd43b8259e2e623ecaf1768ec1cbe5422
",,1486,127,21,3,"[""immutable_borrow"",""mutable_borrow"",""struct_has_lifetime_slot""]",\xmark,\cmark,IJ failed because of deref,13,"['immutable_borrow', 'mutable_borrow', 'struct_has_lifetime_slot']",,\cmark,\cmark,\cmark,,
\cmark,sniffnet,$\leftrightarrows$,52,87,904,0,1044,1.044,"510107c19fd0aab20ba639cecce98f07218018bc
","https://github.com/sewenthy/sniffnet/commit/510107c19fd0aab20ba639cecce98f07218018bc
",,7283,355,71,3,"[""immutable_borrow""]",\cmark,\cmark,all elidible lifetimes,21,['immutable_borrow'],,\cmark,,,,
\small{\Stopsign},sniffnet,$\leftrightarrows$,47,79,630,1,757,0.757,"206cd709013f13299a03bee3e3168039d0b40ba1
","https://github.com/sewenthy/sniffnet/commit/206cd709013f13299a03bee3e3168039d0b40ba1
",cargo,7304,193,180,6,"[""immutable_borrow"",""non_elidible_lifetimes""]",\xmark,\cmark,"technial; need to introduce A{x=*x} if taken x as reference and init struct, IJ failed borrowing, RA figured out Copy",50,"['immutable_borrow', 'non_elidible_lifetimes']",\cmark,\cmark,,,,
\cmark,sniffnet,$\circlearrowleft$,60,77,875,0,1013,1.013,"f4c476727cbc464c4e41b26ffe677619e99b6819
","https://github.com/sewenthy/sniffnet/commit/f4c476727cbc464c4e41b26ffe677619e99b6819
",,7269,71,50,3,"[""immutable_borrow"",""mutable_borrow"",""struct_has_lifetime_slot""]",\cmark,\cmark,,14,"['immutable_borrow', 'mutable_borrow', 'struct_has_lifetime_slot']",,\cmark,\cmark,\cmark,,
\cmark,sniffnet,$\circlearrowleft$,67,77,837,0,983,0.983,"86ba1d3b6e45cad7e62d1899b5076291723b1682
","https://github.com/sewenthy/sniffnet/commit/86ba1d3b6e45cad7e62d1899b5076291723b1682
",,7269,107,98,4,"[""mutable_borrow"",""struct_has_lifetime_slot""]",\xmark,\cmark,path-ed receiver,28,"['mutable_borrow', 'struct_has_lifetime_slot']",,,\cmark,\cmark,,
\cmark,sniffnet,$\circlearrowleft$,79,70,912,0,1062,1.062,"ab536608b131d4eade27bb41b7c87cdbb178d2e2
","https://github.com/sewenthy/sniffnet/commit/ab536608b131d4eade27bb41b7c87cdbb178d2e2
",,7269,189,27,2,[],\cmark,\cmark,,13,[],,,,,,
\cmark,sniffnet,$\circlearrowleft$,47,78,876,0,1002,1.002,"9dd1c5b6eaa45e3f6b2106e6945965bb6cf96c30
","https://github.com/sewenthy/sniffnet/commit/9dd1c5b6eaa45e3f6b2106e6945965bb6cf96c30
",,7270,193,55,2,"[""immutable_borrow""]",\cmark,\cmark,,20,['immutable_borrow'],,\cmark,,,,
\cmark,sniffnet,$\circlearrowleft$,80,56,921,0,1059,1.059,"471a815ca5158cfa38e38998d2c37501bf26ba75
","https://github.com/sewenthy/sniffnet/commit/471a815ca5158cfa38e38998d2c37501bf26ba75
",,7269,348,45,5,[],\cmark,\cmark,lots of references but all elidible,15,[],,,,,,
\cmark,sniffnet,$\circlearrowleft$,80,83,914,0,1078,1.078,"d460d5d2afe6301dcf2011f920d168b2fd725ec7
","https://github.com/sewenthy/sniffnet/commit/d460d5d2afe6301dcf2011f920d168b2fd725ec7
",,7269,338,20,2,"[""mutable_borrow""]",\xmark,\cmark,IJ failed no de-ref,13,['mutable_borrow'],,,,\cmark,,
\cmark,sniffnet,$\circlearrowleft$,80,57,926,0,1064,1.064,"8c58efa31614efe4be1d7b9e92e074e5fd718a98
","https://github.com/sewenthy/sniffnet/commit/8c58efa31614efe4be1d7b9e92e074e5fd718a98
",,7270,339,71,1,[],\cmark,\cmark,,17,[],,,,,,
\cmark,beerus,\small{\smiley{}},70,77,925,0,1073,1.073,"bf7b84a16b2d7dec32dc0172b141687399605ae1
","https://github.com/sewenthy/beerus/commit/bf7b84a16b2d7dec32dc0172b141687399605ae1
",,302,59,26,0,[],\cmark,\small{\Stopsign},small use of async,23,[],,,,,,
